Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
166;Kampen;54319;8-4-2020;21-4-2020;152;279,8;10;18,4;11;20,3
678;Kapelle;12695;8-4-2020;21-4-2020;8;63;2;15,8;1;7,9
537;Katwijk;65753;8-4-2020;21-4-2020;92;139,9;6;9,1;6;9,1
928;Kerkrade;45749;8-4-2020;21-4-2020;55;120,2;11;24;7;15,3
1598;Koggenland;22749;8-4-2020;21-4-2020;13;57,1;1;4,4;2;8,8
542;Krimpen aan den IJssel;29526;8-4-2020;21-4-2020;25;84,7;2;6,8;1;3,4
1931;Krimpenerwaard;56319;8-4-2020;21-4-2020;50;88,8;7;12,4;3;5,3
1659;Laarbeek;22523;8-4-2020;21-4-2020;27;119,9;3;13,3;5;22,2
1685;Landerd;15730;8-4-2020;21-4-2020;37;235,2;3;19,1;7;44,5
882;Landgraaf;37445;8-4-2020;21-4-2020;35;93,5;14;37,4;3;8
415;Landsmeer;11491;8-4-2020;21-4-2020;5;43,5;0;0;1;8,7
416;Langedijk;28163;8-4-2020;21-4-2020;13;46,2;1;3,6;1;3,6
1621;Lansingerland;62384;8-4-2020;21-4-2020;55;88,2;9;14,4;8;12,8
417;Laren (NH.);11280;8-4-2020;21-4-2020;6;53,2;0;0;1;8,9
80;Leeuwarden;124084;8-4-2020;21-4-2020;7;5,6;3;2,4;2;1,6
546;Leiden;125099;8-4-2020;21-4-2020;39;31,2;7;5,6;8;6,4
547;Leiderdorp;27056;8-4-2020;21-4-2020;9;33,3;3;11,1;1;3,7
1916;Leidschendam-Voorburg;76534;8-4-2020;21-4-2020;35;45,7;4;5,2;2;2,6
995;Lelystad;78598;8-4-2020;21-4-2020;66;84;12;15,3;9;11,5
1640;Leudal;35879;8-4-2020;21-4-2020;74;206,2;2;5,6;8;22,3
327;Leusden;30401;8-4-2020;21-4-2020;10;32,9;0;0;0;0
1705;Lingewaard;46601;8-4-2020;21-4-2020;40;85,8;6;12,9;4;8,6
553;Lisse;22955;8-4-2020;21-4-2020;7;30,5;1;4,4;1;4,4
262;Lochem;33729;8-4-2020;21-4-2020;50;148,2;3;8,9;5;14,8
809;Loon op Zand;23408;8-4-2020;21-4-2020;13;55,5;2;8,5;1;4,3
331;Lopik;14467;8-4-2020;21-4-2020;28;193,5;2;13,8;3;20,7
24;Loppersum;9537;8-4-2020;21-4-2020;0;0;0;0;0;0
168;Losser;22683;8-4-2020;21-4-2020;9;39,7;0;0;0;0
263;Maasdriel;25030;8-4-2020;21-4-2020;11;43,9;1;4;2;8
1641;Maasgouw;23965;8-4-2020;21-4-2020;32;133,5;5;20,9;1;4,2
556;Maassluis;33213;8-4-2020;21-4-2020;16;48,2;4;12;2;6
935;Maastricht;121575;8-4-2020;21-4-2020;227;186,7;37;30,4;42;34,5
420;Medemblik;45101;8-4-2020;21-4-2020;28;62,1;3;6,7;2;4,4
938;Meerssen;18828;8-4-2020;21-4-2020;32;170;9;47,8;5;26,6
1948;Meierijstad;81194;8-4-2020;21-4-2020;115;141,6;12;14,8;21;25,9
119;Meppel;33920;8-4-2020;21-4-2020;7;20,6;2;5,9;0;0
687;Middelburg (Z.);48822;8-4-2020;21-4-2020;13;26,6;2;4,1;1;2
1842;Midden-Delfland;19341;8-4-2020;21-4-2020;3;15,5;1;5,2;0;0
1731;Midden-Drenthe;33185;8-4-2020;21-4-2020;6;18,1;0;0;0;0
1952;Midden-Groningen;60797;8-4-2020;21-4-2020;16;26,3;2;3,3;1;1,6
815;Mill en Sint Hubert;10939;8-4-2020;21-4-2020;15;137,1;0;0;3;27,4
1709;Moerdijk;37129;8-4-2020;21-4-2020;26;70;4;10,8;2;5,4
1978;Molenlanden;43909;8-4-2020;21-4-2020;41;93,4;1;2,3;3;6,8
1955;Montferland;36011;8-4-2020;21-4-2020;48;133,3;3;8,3;2;5,6
335;Montfoort;13917;8-4-2020;21-4-2020;4;28,7;0;0;0;0
944;Mook en Middelaar;7847;8-4-2020;21-4-2020;13;165,7;2;25,5;2;25,5
1740;Neder-Betuwe;24339;8-4-2020;21-4-2020;30;123,3;1;4,1;7;28,8
946;Nederweert;17019;8-4-2020;21-4-2020;7;41,1;1;5,9;2;11,8
356;Nieuwegein;63462;8-4-2020;21-4-2020;35;55,2;7;11;5;7,9
569;Nieuwkoop;28811;8-4-2020;21-4-2020;18;62,5;1;3,5;2;6,9
267;Nijkerk;43171;8-4-2020;21-4-2020;11;25,5;1;2,3;1;2,3
268;Nijmegen;177659;8-4-2020;21-4-2020;158;88,9;15;8,4;17;9,6
1930;Nissewaard;85219;8-4-2020;21-4-2020;51;59,8;5;5,9;7;8,2
1970;Noardeast-Fryslân;45228;8-4-2020;21-4-2020;16;35,4;1;2,2;2;4,4
1695;Noord-Beveland;7392;8-4-2020;21-4-2020;1;13,5;0;0;0;0
1699;Noordenveld;31253;8-4-2020;21-4-2020;9;28,8;1;3,2;0;0
171;Noordoostpolder;47291;8-4-2020;21-4-2020;35;74;6;12,7;3;6,3
575;Noordwijk;43508;8-4-2020;21-4-2020;14;32,2;1;2,3;0;0
820;Nuenen, Gerwen en Nederwetten;23383;8-4-2020;21-4-2020;19;81,3;4;17,1;4;17,1
302;Nunspeet;27851;8-4-2020;21-4-2020;74;265,7;4;14,4;7;25,1
579;Oegstgeest;24840;8-4-2020;21-4-2020;14;56,4;3;12,1;0;0
823;Oirschot;18714;8-4-2020;21-4-2020;19;101,5;0;0;4;21,4
824;Oisterwijk;26245;8-4-2020;21-4-2020;15;57,2;2;7,6;1;3,8
1895;Oldambt;38209;8-4-2020;21-4-2020;6;15,7;2;5,2;0;0
269;Oldebroek;23646;8-4-2020;21-4-2020;53;224,1;4;16,9;4;16,9
173;Oldenzaal;31836;8-4-2020;21-4-2020;17;53,4;1;3,1;0;0
1773;Olst-Wijhe;18252;8-4-2020;21-4-2020;17;93,1;3;16,4;2;11
175;Ommen;18009;8-4-2020;21-4-2020;20;111,1;2;11,1;0;0
1586;Oost Gelre;29627;8-4-2020;21-4-2020;21;70,9;3;10,1;2;6,8
826;Oosterhout;55982;8-4-2020;21-4-2020;21;37,5;2;3,6;4;7,1
85;Ooststellingwerf;25469;8-4-2020;21-4-2020;3;11,8;1;3,9;0;0
431;Oostzaan;9735;8-4-2020;21-4-2020;6;61,6;2;20,5;1;10,3
432;Opmeer;11836;8-4-2020;21-4-2020;4;33,8;0;0;1;8,4
86;Opsterland;29733;8-4-2020;21-4-2020;10;33,6;1;3,4;0;0
828;Oss;91915;8-4-2020;21-4-2020;136;148;17;18,5;19;20,7
1509;Oude IJsselstreek;39388;8-4-2020;21-4-2020;32;81,2;3;7,6;2;5,1
437;Ouder-Amstel;14026;8-4-2020;21-4-2020;8;57;0;0;0;0
589;Oudewater;10230;8-4-2020;21-4-2020;9;88;1;9,8;2;19,6
1734;Overbetuwe;47906;8-4-2020;21-4-2020;28;58,4;6;12,5;2;4,2
590;Papendrecht;32136;8-4-2020;21-4-2020;23;71,6;0;0;4;12,4
1894;Peel en Maas;43425;8-4-2020;21-4-2020;44;101,3;9;20,7;8;18,4
765;Pekela;12196;8-4-2020;21-4-2020;1;8,2;0;0;0;0
1926;Pijnacker-Nootdorp;55308;8-4-2020;21-4-2020;46;83,2;4;7,2;3;5,4
439;Purmerend;81249;8-4-2020;21-4-2020;61;75,1;8;9,8;11;13,5
273;Putten;24112;8-4-2020;21-4-2020;3;12,4;0;0;0;0
177;Raalte;37712;8-4-2020;21-4-2020;75;198,9;3;8;4;10,6
703;Reimerswaal;22730;8-4-2020;21-4-2020;13;57,2;0;0;0;0
274;Renkum;31419;8-4-2020;21-4-2020;24;76,4;1;3,2;4;12,7
339;Renswoude;5444;8-4-2020;21-4-2020;8;147;0;0;3;55,1
1667;Reusel-De Mierden;13112;8-4-2020;21-4-2020;8;61;1;7,6;2;15,3
275;Rheden;43761;8-4-2020;21-4-2020;15;34,3;1;2,3;2;4,6
340;Rhenen;20119;8-4-2020;21-4-2020;11;54,7;3;14,9;3;14,9
597;Ridderkerk;46189;8-4-2020;21-4-2020;29;62,8;4;8,7;5;10,8
1742;Rijssen-Holten;38177;8-4-2020;21-4-2020;49;128,3;6;15,7;6;15,7
603;Rijswijk (ZH.);54450;8-4-2020;21-4-2020;46;84,5;12;22;10;18,4
1669;Roerdalen;20574;8-4-2020;21-4-2020;10;48,6;1;4,9;2;9,7
957;Roermond;58260;8-4-2020;21-4-2020;38;65,2;7;12;7;12
1674;Roosendaal;77251;8-4-2020;21-4-2020;90;116,5;7;9,1;8;10,4
599;Rotterdam;651157;8-4-2020;21-4-2020;768;117,9;115;17,7;130;20
277;Rozendaal;1704;8-4-2020;21-4-2020;1;58,7;0;0;0;0
840;Rucphen;22878;8-4-2020;21-4-2020;21;91,8;1;4,4;1;4,4
441;Schagen;46483;8-4-2020;21-4-2020;23;49,5;3;6,5;4;8,6
279;Scherpenzeel;9880;8-4-2020;21-4-2020;6;60,7;1;10,1;1;10,1
606;Schiedam;78730;8-4-2020;21-4-2020;92;116,9;8;10,2;5;6,4
88;Schiermonnikoog;947;8-4-2020;21-4-2020;0;0;0;0;0;0
1676;Schouwen-Duiveland;33839;8-4-2020;21-4-2020;11;32,5;2;5,9;0;0
965;Simpelveld;10555;8-4-2020;21-4-2020;11;104,2;1;9,5;1;9,5
1702;Sint Anthonis;11664;8-4-2020;21-4-2020;11;94,3;0;0;3;25,7
845;Sint-Michielsgestel;29208;8-4-2020;21-4-2020;27;92,4;10;34,2;8;27,4
1883;Sittard-Geleen;92429;8-4-2020;21-4-2020;136;147,1;17;18,4;15;16,2
610;Sliedrecht;25220;8-4-2020;21-4-2020;15;59,5;1;4;1;4
1714;Sluis;23210;8-4-2020;21-4-2020;5;21,5;0;0;0;0
90;Smallingerland;56150;8-4-2020;21-4-2020;26;46,3;1;1,8;3;5,3
342;Soest;46606;8-4-2020;21-4-2020;20;42,9;5;10,7;5;10,7
847;Someren;19368;8-4-2020;21-4-2020;34;175,5;5;25,8;3;15,5
848;Son en Breugel;17322;8-4-2020;21-4-2020;20;115,5;3;17,3;8;46,2
37;Stadskanaal;31686;8-4-2020;21-4-2020;3;9,5;0;0;2;6,3
180;Staphorst;17145;8-4-2020;21-4-2020;27;157,5;2;11,7;2;11,7
532;Stede Broec;21726;8-4-2020;21-4-2020;15;69;2;9,2;1;4,6
851;Steenbergen;24416;8-4-2020;21-4-2020;26;106,5;1;4,1;2;8,2
1708;Steenwijkerland;44126;8-4-2020;21-4-2020;51;115,6;3;6,8;3;6,8
971;Stein (L.);25007;8-4-2020;21-4-2020;33;132;3;12;4;16
1904;Stichtse Vecht;64931;8-4-2020;21-4-2020;33;50,8;3;4,6;0;0
1900;Súdwest-Fryslân;89987;8-4-2020;21-4-2020;25;27,8;1;1,1;0;0
715;Terneuzen;54426;8-4-2020;21-4-2020;40;73,5;6;11;1;1,8
93;Terschelling;4888;8-4-2020;21-4-2020;1;20,5;0;0;0;0
448;Texel;13575;8-4-2020;21-4-2020;3;22,1;0;0;0;0
1525;Teylingen;37440;8-4-2020;21-4-2020;15;40,1;0;0;0;0
716;Tholen;25757;8-4-2020;21-4-2020;44;170,8;4;15,5;1;3,9
281;Tiel;42159;8-4-2020;21-4-2020;40;94,9;7;16,6;7;16,6
855;Tilburg;219789;8-4-2020;21-4-2020;175;79,6;26;11,8;34;15,5
183;Tubbergen;21275;8-4-2020;21-4-2020;22;103,4;1;4,7;2;9,4
1700;Twenterand;33743;8-4-2020;21-4-2020;29;85,9;3;8,9;1;3
1730;Tynaarlo;33887;8-4-2020;21-4-2020;7;20,7;0;0;0;0
737;Tytsjerksteradiel;32052;8-4-2020;21-4-2020;3;9,4;0;0;0;0
856;Uden;42119;8-4-2020;21-4-2020;40;95;6;14,2;7;16,6
450;Uitgeest;13666;8-4-2020;21-4-2020;7;51,2;2;14,6;0;0
451;Uithoorn;29478;8-4-2020;21-4-2020;16;54,3;3;10,2;0;0
184;Urk;21031;8-4-2020;21-4-2020;29;137,9;0;0;1;4,8
344;Utrecht (gemeente);357597;8-4-2020;21-4-2020;235;65,7;52;14,5;33;9,2
1581;Utrechtse Heuvelrug;49580;8-4-2020;21-4-2020;33;66,6;6;12,1;1;2
981;Vaals;10105;8-4-2020;21-4-2020;13;128,6;1;9,9;0;0
994;Valkenburg aan de Geul;16367;8-4-2020;21-4-2020;18;110;3;18,3;3;18,3
858;Valkenswaard;31193;8-4-2020;21-4-2020;44;141,1;2;6,4;13;41,7
47;Veendam;27384;8-4-2020;21-4-2020;2;7,3;1;3,7;0;0
345;Veenendaal;66493;8-4-2020;21-4-2020;73;109,8;18;27,1;3;4,5
717;Veere;21880;8-4-2020;21-4-2020;6;27,4;1;4,6;1;4,6
861;Veldhoven;45466;8-4-2020;21-4-2020;51;112,2;6;13,2;3;6,6
453;Velsen;68648;8-4-2020;21-4-2020;99;144,2;6;8,7;16;23,3
983;Venlo;101802;8-4-2020;21-4-2020;97;95,3;10;9,8;15;14,7
984;Venray;43614;8-4-2020;21-4-2020;36;82,5;2;4,6;4;9,2
1961;Vijfheerenlanden;56811;8-4-2020;21-4-2020;85;149,6;5;8,8;15;26,4
622;Vlaardingen;73397;8-4-2020;21-4-2020;86;117,2;6;8,2;8;10,9
96;Vlieland;1155;8-4-2020;21-4-2020;0;0;0;0;0;0
718;Vlissingen;44360;8-4-2020;21-4-2020;9;20,3;1;2,3;2;4,5
986;Voerendaal;12475;8-4-2020;21-4-2020;17;136,3;4;32,1;1;8
626;Voorschoten;25596;8-4-2020;21-4-2020;10;39,1;0;0;2;7,8
285;Voorst;24552;8-4-2020;21-4-2020;14;57;1;4,1;3;12,2
865;Vught;26558;8-4-2020;21-4-2020;28;105,4;3;11,3;4;15,1
1949;Waadhoeke;46090;8-4-2020;21-4-2020;34;73,8;4;8,7;8;17,4
866;Waalre;17456;8-4-2020;21-4-2020;6;34,4;2;11,5;2;11,5
867;Waalwijk;48637;8-4-2020;21-4-2020;46;94,6;5;10,3;6;12,3
627;Waddinxveen;29291;8-4-2020;21-4-2020;17;58;4;13,7;2;6,8
