Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
331;Lopik;14467;09-12-2020;22-12-2020;117;808,7;0;0;1;6,9
24;Loppersum;9537;09-12-2020;22-12-2020;43;450,9;1;10,5;0;0
168;Losser;22683;09-12-2020;22-12-2020;264;1163,9;5;22;6;26,5
263;Maasdriel;25030;09-12-2020;22-12-2020;214;855;1;4;1;4
1641;Maasgouw;23965;09-12-2020;22-12-2020;169;705,2;0;0;0;0
556;Maassluis;33213;09-12-2020;22-12-2020;233;701,5;0;0;0;0
935;Maastricht;121575;09-12-2020;22-12-2020;834;686;9;7,4;2;1,6
420;Medemblik;45101;09-12-2020;22-12-2020;524;1161,8;1;2,2;1;2,2
938;Meerssen;18828;09-12-2020;22-12-2020;158;839,2;0;0;1;5,3
1948;Meierijstad;81194;09-12-2020;22-12-2020;676;832,6;2;2,5;3;3,7
119;Meppel;33920;09-12-2020;22-12-2020;192;566;1;2,9;0;0
687;Middelburg;48822;09-12-2020;22-12-2020;209;428,1;1;2;0;0
1842;Midden-Delfland;19341;09-12-2020;22-12-2020;198;1023,7;0;0;1;5,2
1731;Midden-Drenthe;33185;09-12-2020;22-12-2020;157;473,1;1;3;0;0
1952;Midden-Groningen;60797;09-12-2020;22-12-2020;255;419,4;1;1,6;3;4,9
815;Mill en Sint Hubert;10939;09-12-2020;22-12-2020;73;667,3;0;0;1;9,1
1709;Moerdijk;37129;09-12-2020;22-12-2020;192;517,1;2;5,4;1;2,7
1978;Molenlanden;43909;09-12-2020;22-12-2020;373;849,5;0;0;1;2,3
1955;Montferland;36011;09-12-2020;22-12-2020;231;641,5;2;5,6;0;0
335;Montfoort;13917;09-12-2020;22-12-2020;139;998,8;0;0;0;0
944;Mook en Middelaar;7847;09-12-2020;22-12-2020;47;599;1;12,7;0;0
1740;Neder-Betuwe;24339;09-12-2020;22-12-2020;295;1212;4;16,4;0;0
946;Nederweert;17019;09-12-2020;22-12-2020;242;1421,9;0;0;2;11,8
356;Nieuwegein;63462;09-12-2020;22-12-2020;379;597,2;4;6,3;0;0
569;Nieuwkoop;28811;09-12-2020;22-12-2020;303;1051,7;1;3,5;3;10,4
267;Nijkerk;43171;09-12-2020;22-12-2020;534;1236,9;1;2,3;0;0
268;Nijmegen;177659;09-12-2020;22-12-2020;1112;625,9;4;2,3;3;1,7
1930;Nissewaard;85219;09-12-2020;22-12-2020;419;491,7;7;8,2;3;3,5
1970;Noardeast-Frysl̢n;45228;09-12-2020;22-12-2020;213;470,9;2;4,4;2;4,4
1695;Noord-Beveland;7392;09-12-2020;22-12-2020;8;108,2;0;0;0;0
1699;Noordenveld;31253;09-12-2020;22-12-2020;75;240;0;0;2;6,4
171;Noordoostpolder;47291;09-12-2020;22-12-2020;421;890,2;1;2,1;0;0
575;Noordwijk;43508;09-12-2020;22-12-2020;310;712,5;1;2,3;1;2,3
820;Nuenen, Gerwen en Nederwetten;23383;09-12-2020;22-12-2020;137;585,9;1;4,3;1;4,3
302;Nunspeet;27851;09-12-2020;22-12-2020;222;797,1;3;10,8;0;0
579;Oegstgeest;24840;09-12-2020;22-12-2020;220;885,7;0;0;9;36,2
823;Oirschot;18714;09-12-2020;22-12-2020;182;972,5;0;0;1;5,3
824;Oisterwijk;26245;09-12-2020;22-12-2020;247;941,1;0;0;1;3,8
1895;Oldambt;38209;09-12-2020;22-12-2020;187;489,4;3;7,9;4;10,5
269;Oldebroek;23646;09-12-2020;22-12-2020;267;1129,2;1;4,2;1;4,2
173;Oldenzaal;31836;09-12-2020;22-12-2020;293;920,3;4;12,6;0;0
1773;Olst-Wijhe;18252;09-12-2020;22-12-2020;124;679,4;0;0;0;0
175;Ommen;18009;09-12-2020;22-12-2020;109;605,3;0;0;0;0
1586;Oost Gelre;29627;09-12-2020;22-12-2020;237;799,9;1;3,4;1;3,4
826;Oosterhout;55982;09-12-2020;22-12-2020;417;744,9;3;5,4;3;5,4
85;Ooststellingwerf;25469;09-12-2020;22-12-2020;75;294,5;1;3,9;0;0
431;Oostzaan;9735;09-12-2020;22-12-2020;101;1037,5;0;0;0;0
432;Opmeer;11836;09-12-2020;22-12-2020;108;912,5;0;0;0;0
86;Opsterland;29733;09-12-2020;22-12-2020;107;359,9;0;0;1;3,4
828;Oss;91915;09-12-2020;22-12-2020;536;583,1;2;2,2;0;0
1509;Oude IJsselstreek;39388;09-12-2020;22-12-2020;295;749;2;5,1;3;7,6
437;Ouder-Amstel;14026;09-12-2020;22-12-2020;120;855,6;0;0;0;0
589;Oudewater;10230;09-12-2020;22-12-2020;111;1085;0;0;0;0
1734;Overbetuwe;47906;09-12-2020;22-12-2020;287;599,1;0;0;0;0
590;Papendrecht;32136;09-12-2020;22-12-2020;307;955,3;0;0;3;9,3
