time;Acre;Alagoas;Amapá;Amazonas;Bahia;Ceará;Distrito Federal;Espírito Santo;Goiás;Maranhão;Mato Grosso;Mato Grosso do Sul;Minas Gerais;Paraná;Paraíba;Pará;Pernambuco;Piauí;Rio Grande do Norte;Rio Grande do Sul;Rio de Janeiro;Rondônia;Roraima;Santa Catarina;Sergipe;São Paulo;Tocantins;type
2020-03-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deaths
2020-03-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;confirmed
2020-03-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deaths
2020-03-06;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10;0;confirmed
2020-03-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deaths
2020-03-07;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;13;0;confirmed
2020-03-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deaths
2020-03-08;0;1;0;0;2;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;16;0;confirmed
2020-03-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deaths
2020-03-09;0;1;0;0;2;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;16;0;confirmed
2020-03-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deaths
2020-03-10;0;1;0;0;2;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;8;0;0;0;0;19;0;confirmed
2020-03-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deaths
2020-03-11;0;1;0;0;2;0;2;1;0;0;0;0;1;0;0;0;0;0;0;2;13;0;0;0;0;30;0;confirmed
2020-03-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deaths
2020-03-12;0;1;0;0;2;0;2;1;0;0;0;0;1;6;0;0;2;0;0;4;16;0;0;0;0;42;0;confirmed
2020-03-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deaths
2020-03-13;0;1;0;0;2;0;2;1;3;0;0;0;2;6;0;0;2;0;1;4;16;0;0;2;0;56;0;confirmed
2020-03-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deaths
2020-03-14;0;1;0;0;2;0;6;1;3;0;0;0;2;6;0;0;2;0;1;6;22;0;0;4;0;65;0;confirmed
2020-03-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deaths
2020-03-15;0;1;0;1;2;0;8;1;3;0;0;0;2;6;0;0;2;0;1;6;24;0;0;6;1;136;0;confirmed
2020-03-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deaths
2020-03-16;0;1;0;1;2;0;13;1;3;0;0;2;5;6;0;0;2;0;1;6;31;0;0;7;1;152;0;confirmed
2020-03-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deaths
2020-03-17;0;1;0;1;3;5;22;1;6;0;0;4;7;6;0;0;16;0;1;10;33;0;0;7;4;164;0;confirmed
2020-03-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;deaths
2020-03-18;0;1;0;1;3;9;26;9;8;0;0;7;15;13;0;0;16;0;1;19;45;0;0;10;5;240;0;confirmed
2020-03-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;deaths
2020-03-19;3;4;0;3;30;20;42;11;12;0;0;7;29;23;1;1;28;0;1;28;65;0;0;20;6;286;1;confirmed
2020-03-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;deaths
2020-03-20;7;5;1;3;33;55;87;13;15;0;1;9;35;32;1;2;30;3;1;37;109;1;0;21;6;396;1;confirmed
2020-03-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;9;0;deaths
2020-03-21;9;7;1;11;41;68;100;26;20;1;2;16;38;43;1;2;30;4;6;60;119;1;0;51;10;459;2;confirmed
2020-03-21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;15;0;deaths
2020-03-22;11;7;1;26;49;112;117;26;21;2;2;21;83;50;1;4;37;4;9;72;186;3;2;57;10;631;2;confirmed
2020-03-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;22;0;deaths
2020-03-23;11;7;1;32;63;163;133;29;23;2;2;21;128;56;2;5;42;6;13;86;233;3;2;68;10;745;5;confirmed
2020-03-23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;30;0;deaths
2020-03-24;17;9;1;47;76;182;160;33;27;8;7;23;130;65;3;5;42;6;13;98;305;3;2;107;15;810;7;confirmed
2020-03-24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;40;0;deaths
2020-03-25;23;11;1;54;84;200;160;39;29;8;8;24;133;81;3;7;46;8;14;123;370;5;8;109;16;862;7;confirmed
2020-03-25;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;6;0;0;0;0;48;0;deaths
2020-03-26;24;11;2;67;104;235;200;39;39;10;11;25;153;102;5;13;48;9;19;168;421;5;8;122;16;1052;7;confirmed
2020-03-26;0;0;0;1;0;3;0;0;1;0;0;0;0;0;0;0;3;0;0;1;9;0;0;1;0;58;0;deaths
2020-03-27;25;11;2;81;115;282;230;47;49;13;11;28;189;119;9;13;56;9;28;195;493;6;10;149;16;1223;8;confirmed
2020-03-27;0;0;0;1;0;3;0;0;1;0;0;0;0;2;0;0;4;0;0;2;10;0;0;1;0;68;0;deaths
2020-03-28;25;14;4;111;127;314;260;53;56;14;13;31;205;133;14;17;68;11;45;197;558;6;12;184;16;1406;9;confirmed
2020-03-28;0;0;0;1;0;4;0;0;1;0;0;0;0;2;0;0;5;1;0;2;13;0;0;1;0;84;0;deaths
2020-03-29;34;17;4;140;154;348;289;60;58;16;16;36;231;148;14;18;73;14;68;226;600;6;16;194;16;1451;9;confirmed
2020-03-29;0;0;0;1;1;5;1;0;1;0;0;0;0;2;0;0;5;1;1;2;17;0;0;1;0;98;0;deaths
2020-03-30;42;17;8;151;176;372;312;72;61;23;18;44;261;155;15;21;78;16;77;241;657;6;16;197;16;1517;10;confirmed
2020-03-30;0;0;0;1;1;5;1;0;1;1;0;0;1;3;0;0;6;3;1;3;18;0;0;1;0;113;0;deaths
2020-03-31;42;18;10;175;213;390;332;84;65;31;25;48;275;179;17;32;87;18;82;274;708;8;16;219;19;2339;11;confirmed
2020-03-31;0;1;0;3;2;7;3;0;1;1;0;1;2;3;0;0;6;4;1;4;23;1;0;2;0;136;0;deaths
2020-04-01;43;18;11;200;246;444;355;96;71;52;27;51;314;224;20;40;95;18;92;306;832;9;22;235;20;2981;12;confirmed
2020-04-01;0;1;0;3;2;8;3;0;1;1;0;1;3;3;1;1;8;4;2;4;28;1;0;2;0;164;0;deaths
2020-04-02;43;18;11;229;267;550;370;120;73;71;36;53;370;252;21;46;106;19;105;334;992;10;26;247;23;3506;12;confirmed
2020-04-02;0;1;0;3;3;20;4;1;1;1;0;1;4;4;1;1;9;4;2;5;41;1;0;2;2;188;0;deaths
2020-04-03;46;22;19;260;282;627;402;139;88;81;44;60;397;301;29;50;136;21;176;396;1074;10;30;281;25;4048;12;confirmed
2020-04-03;0;2;0;7;5;22;5;4;2;1;1;1;6;4;1;1;10;4;4;5;47;1;0;5;2;219;0;deaths
2020-04-04;46;23;28;311;332;730;454;153;103;88;56;62;430;395;32;80;176;22;212;410;1246;11;37;334;27;4466;14;confirmed
2020-04-04;0;2;1;12;7;22;7;5;2;1;1;1;6;6;2;1;14;4;5;6;58;1;1;5;2;260;0;deaths
2020-04-05;48;28;29;417;401;823;468;166;115;96;60;65;498;438;34;86;201;23;242;418;1394;12;42;357;32;4620;17;confirmed
2020-04-05;0;2;2;14;9;26;7;6;3;2;1;1;6;9;4;1;21;4;7;7;64;1;1;10;3;275;0;deaths
2020-04-06;50;31;34;532;431;1013;473;194;119;133;76;66;525;458;35;102;223;23;246;481;1461;14;42;379;32;4866;17;confirmed
2020-04-06;0;2;2;19;10;29;10;6;5;2;1;1;9;11;4;3;30;4;7;7;71;1;1;10;4;304;0;deaths
2020-04-07;50;32;48;636;456;1051;492;209;133;172;78;80;559;503;36;138;352;28;254;508;1688;18;42;417;36;5682;19;confirmed
2020-04-07;1;2;2;23;12;31;12;6;5;4;1;2;11;15;4;5;34;4;8;8;89;1;1;11;4;371;0;deaths
2020-04-08;54;37;107;804;497;1291;509;227;158;230;90;85;614;539;41;167;401;31;261;555;1938;18;49;457;36;6708;23;confirmed
2020-04-08;2;2;2;30;15;43;12;6;7;11;1;2;14;17;4;6;46;5;11;9;106;1;1;15;4;428;0;deaths
2020-04-09;62;37;128;899;559;1425;527;273;179;273;108;89;655;609;55;168;555;38;261;618;2216;28;52;501;39;7480;23;confirmed
2020-04-09;2;3;2;40;19;55;13;6;7;12;2;2;15;22;7;7;56;6;11;12;122;2;1;17;4;496;0;deaths
